Hotspot_Name,Bird_Name
Taughannock Falls SP,scoter sp.
Taughannock Falls SP,Red-necked Grebe
Taughannock Falls SP,Pine Siskin
Taughannock Falls SP,Brown Creeper
Taughannock Falls SP,Common Goldeneye
Taughannock Falls SP,Mute Swan
Taughannock Falls SP,Tundra Swan
Taughannock Falls SP,Aythya sp.
Taughannock Falls SP,Greater Scaup
Taughannock Falls SP,Greater/Lesser Scaup
Taughannock Falls SP,White-winged Scoter
Taughannock Falls SP,Long-tailed Duck
Taughannock Falls SP,Red-throated Loon
Taughannock Falls SP,Lesser Black-backed Gull
Taughannock Falls SP,Winter Wren
Taughannock Falls SP,Common/Forster's Tern
Taughannock Falls SP,Killdeer
Taughannock Falls SP,Wood Duck
Taughannock Falls SP,Green-winged Teal
Taughannock Falls SP,goose sp.
Taughannock Falls SP,Magnolia Warbler
Taughannock Falls SP,Chestnut-sided Warbler
Taughannock Falls SP,shorebird sp.
Taughannock Falls SP,Louisiana/Northern Waterthrush
Taughannock Falls SP,Franklin's Gull
Taughannock Falls SP,Brown Thrasher
Taughannock Falls SP,American Coot
Taughannock Falls SP,Greater Yellowlegs
Taughannock Falls SP,Red-shouldered Hawk
Taughannock Falls SP,Blue-winged Warbler
Taughannock Falls SP,Canvasback
Taughannock Falls SP,Northern Pintail
Taughannock Falls SP,Mallard x American Black Duck (hybrid)
Taughannock Falls SP,White-crowned Sparrow
Taughannock Falls SP,sparrow sp.
Taughannock Falls SP,blackbird sp.
Taughannock Falls SP,Accipiter sp.
Taughannock Falls SP,warbler sp. (Parulidae sp.)
Taughannock Falls SP,hawk sp.
Taughannock Falls SP,Veery
Taughannock Falls SP,Prairie Warbler
Taughannock Falls SP,passerine sp.
Taughannock Falls SP,Empidonax sp.
Taughannock Falls SP,Buteo sp.
Taughannock Falls SP,Philadelphia Vireo
Taughannock Falls SP,Northern Harrier
Taughannock Falls SP,Purple Finch
Taughannock Falls SP,Eastern Meadowlark
Taughannock Falls SP,American Tree Sparrow
Taughannock Falls SP,Northern Saw-whet Owl
Taughannock Falls SP,Cackling Goose
Taughannock Falls SP,Wild Turkey
Taughannock Falls SP,loon sp.
Taughannock Falls SP,Brant
Taughannock Falls SP,Black-crowned Night-Heron
Taughannock Falls SP,Tennessee Warbler
Taughannock Falls SP,Northern Waterthrush
Taughannock Falls SP,Canada Warbler
Taughannock Falls SP--Lakeshore E of Creek,Mallard
Taughannock Falls SP--Lakeshore E of Creek,Ring-billed Gull
Taughannock Falls SP--Lakeshore E of Creek,Herring Gull
Taughannock Falls SP--Lakeshore E of Creek,Black-capped Chickadee
Taughannock Falls SP--Lakeshore E of Creek,Common Loon
Taughannock Falls SP--Lakeshore E of Creek,loon sp.
Taughannock Falls SP--Lakeshore E of Creek,American Crow
Taughannock Falls SP--Lakeshore E of Creek,European Starling
Taughannock Falls SP--Lakeshore E of Creek,Dark-eyed Junco
Taughannock Falls SP--Lakeshore E of Creek,Canada Goose
Taughannock Falls SP--Lakeshore E of Creek,Double-crested Cormorant
Taughannock Falls SP--Lakeshore E of Creek,Belted Kingfisher
Taughannock Falls SP--Lakeshore E of Creek,Turkey Vulture
Taughannock Falls SP--Lakeshore E of Creek,Osprey
Taughannock Falls SP--Lakeshore E of Creek,Purple Martin
Taughannock Falls SP--Lakeshore E of Creek,Song Sparrow
Taughannock Falls SP--Lakeshore E of Creek,Red-winged Blackbird
Taughannock Falls SP--Lakeshore E of Creek,Common Grackle
Taughannock Falls SP--Lakeshore E of Creek,Tree Swallow
Taughannock Falls SP--Lakeshore E of Creek,Barn Swallow
Taughannock Falls SP--Lakeshore E of Creek,Red-bellied Woodpecker
Taughannock Falls SP--Lakeshore E of Creek,Downy Woodpecker
Taughannock Falls SP--Lakeshore E of Creek,Hairy Woodpecker
Taughannock Falls SP--Lakeshore E of Creek,Pileated Woodpecker
Taughannock Falls SP--Lakeshore E of Creek,Blue Jay
Taughannock Falls SP--Lakeshore E of Creek,Tufted Titmouse
Taughannock Falls SP--Lakeshore E of Creek,White-breasted Nuthatch
Taughannock Falls SP--Lakeshore E of Creek,House Wren
Taughannock Falls SP--Lakeshore E of Creek,Gray Catbird
Taughannock Falls SP--Lakeshore E of Creek,American Robin
Taughannock Falls SP--Lakeshore E of Creek,American Goldfinch
Taughannock Falls SP--Lakeshore E of Creek,Baltimore Oriole
Taughannock Falls SP--Lakeshore E of Creek,blackbird sp.
Taughannock Falls SP--Lakeshore E of Creek,Northern Cardinal
Taughannock Falls SP--Lakeshore E of Creek,Mourning Dove
Taughannock Falls SP--Lakeshore E of Creek,Bonaparte's Gull
Taughannock Falls SP--Lakeshore E of Creek,Caspian Tern
Taughannock Falls SP--Lakeshore E of Creek,Eastern Kingbird
Taughannock Falls SP--Lakeshore E of Creek,Warbling Vireo
Taughannock Falls SP--Lakeshore E of Creek,Northern Rough-winged Swallow
Taughannock Falls SP--Lakeshore E of Creek,Ruby-crowned Kinglet
Taughannock Falls SP--Lakeshore E of Creek,Blue-gray Gnatcatcher
Taughannock Falls SP--Lakeshore E of Creek,Carolina Wren
Taughannock Falls SP--Lakeshore E of Creek,Chipping Sparrow
Taughannock Falls SP--Lakeshore E of Creek,Yellow Warbler
Taughannock Falls SP--Lakeshore E of Creek,Palm Warbler
Taughannock Falls SP--Lakeshore E of Creek,Common Merganser
Taughannock Falls SP--Lakeshore E of Creek,gull sp.
Taughannock Falls SP--Lakeshore E of Creek,Great Blue Heron
Taughannock Falls SP--Lakeshore E of Creek,Northern Flicker
Taughannock Falls SP--Lakeshore E of Creek,swallow sp.
Taughannock Falls SP--Lakeshore E of Creek,Blue-winged Teal
Taughannock Falls SP--Lakeshore E of Creek,Bufflehead
Taughannock Falls SP--Lakeshore E of Creek,Red-necked Grebe
Taughannock Falls SP--Lakeshore E of Creek,Yellow-bellied Sapsucker
Taughannock Falls SP--Lakeshore E of Creek,Fish Crow
Taughannock Falls SP--Lakeshore E of Creek,House Sparrow
Taughannock Falls SP--Lakeshore E of Creek,Eastern Phoebe
Taughannock Falls SP--Lakeshore E of Creek,Red-breasted Merganser
Taughannock Falls SP--Lakeshore E of Creek,Eastern Bluebird
Taughannock Falls SP--Lakeshore E of Creek,Yellow-rumped Warbler
Taughannock Falls SP--Lakeshore E of Creek,Red-tailed Hawk
Taughannock Falls SP--Lakeshore E of Creek,White-winged Scoter
Taughannock Falls SP--Lakeshore E of Creek,Common Raven
Taughannock Falls SP--Lakeshore E of Creek,Cedar Waxwing
Taughannock Falls SP--Lakeshore E of Creek,Horned Grebe
Taughannock Falls SP--Lakeshore E of Creek,Great Black-backed Gull
Taughannock Falls SP--Lakeshore E of Creek,House Finch
Taughannock Falls SP--Lakeshore E of Creek,Wood Duck
